INFO   | jvm 1    | main    | 2017/10/27 14:05:25.615 | [m[32mINFO  [localhost-startStop-1] [DefaultCacheController] Cache region: Name: queryCacheRegion, size: 20000, types: [__QUERY_CACHE__], exclusive computation: false, statistics: true, class: class de.hybris.platform.regioncache.region.impl.EHCacheRegion
INFO   | jvm 1    | main    | 2017/10/27 14:05:25.615 | [m[32mINFO  [localhost-startStop-1] [DefaultCacheController] Cache region: Name: mediaCacheRegion, size: 0, types: [__MEDIA__cache], statistics: true, class: class de.hybris.platform.media.storage.impl.MediaCacheRegion
INFO   | jvm 1    | main    | 2017/10/27 14:05:25.615 | [m[32mINFO  [localhost-startStop-1] [DefaultCacheController] Cache region: Name: scriptsCacheRegion, size: 0, types: [__SCRIPT__], statistics: true, class: class de.hybris.platform.scripting.engine.internal.cache.impl.ScriptsCacheRegion
INFO   | jvm 1    | main    | 2017/10/27 14:05:25.615 | [m[32mINFO  [localhost-startStop-1] [DefaultCacheController] Cache region: Name: sessionCacheRegion, size: 50000, types: [__SESSION__], exclusive computation: false, statistics: true, class: class de.hybris.platform.regioncache.region.impl.EHCacheRegion
INFO   | jvm 1    | main    | 2017/10/27 14:05:25.615 | [m[32mINFO  [localhost-startStop-1] [DefaultCacheController] Registered Listener RegionCacheAdapter(1136230337) - <<master>> on cache controller. Currently registered 1
INFO   | jvm 1    | main    | 2017/10/27 14:05:26.119 | [m
INFO   | jvm 1    | main    | 2017/10/27 14:05:37.487 | [32mINFO  [localhost-startStop-1] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (core) located in (core-spring.xml,persistence-spring.xml,core-media-spring.xml,core-profiling-spring.xml,core-jmx-spring.xml,core-filter-spring.xml,servicelayer-spring.xml,user-spring.xml,security-spring.xml,media-spring.xml,i18n-spring.xml,interceptor-spring.xml,event-spring.xml) took: (783.0 ms)
INFO   | jvm 1    | main    | 2017/10/27 14:05:37.588 | [m[32mINFO  [localhost-startStop-1] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (scripting) located in (scripting-spring.xml) took: (22.94 ms)
INFO   | jvm 1    | main    | 2017/10/27 14:05:37.588 | [m[32mINFO  [localhost-startStop-1] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (commons) located in (commons-spring.xml) took: (17.36 ms)
INFO   | jvm 1    | main    | 2017/10/27 14:05:37.689 | [m[32mINFO  [localhost-startStop-1] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (processing) located in (processing-spring.xml,cronjob-spring.xml,task-spring.xml,processengine-spring.xml,processing-jmx-spring.xml,processing-distributed-spring.xml) took: (122.2 ms)
INFO   | jvm 1    | main    | 2017/10/27 14:05:37.690 | [m[32mINFO  [localhost-startStop-1] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (impex) located in (impex-spring.xml) took: (26.48 ms)
INFO   | jvm 1    | main    | 2017/10/27 14:05:37.790 | [m[32mINFO  [localhost-startStop-1] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (validation) located in (validation-spring.xml) took: (90.89 ms)
INFO   | jvm 1    | main    | 2017/10/27 14:05:37.892 | [m[32mINFO  [localhost-startStop-1] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (europe1) located in (europe1-spring.xml) took: (38.04 ms)
INFO   | jvm 1    | main    | 2017/10/27 14:05:38.194 | [m[32mINFO  [localhost-startStop-1] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (platformservices) located in (catalog-spring.xml,order-spring.xml,product-spring.xml,category-spring.xml,classification-spring.xml,jobs-spring.xml,converters-spring.xml) took: (319.5 ms)
INFO   | jvm 1    | main    | 2017/10/27 14:05:38.194 | [m[32mINFO  [localhost-startStop-1] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (workflow) located in (workflow-spring.xml) took: (25.99 ms)
INFO   | jvm 1    | main    | 2017/10/27 14:05:38.194 | [m[32mINFO  [localhost-startStop-1] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (oauth2) located in (oauth2-spring.xml) took: (26.15 ms)
INFO   | jvm 1    | main    | 2017/10/27 14:05:38.296 | [m[32mINFO  [localhost-startStop-1] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (hac) located in (hac-spring.xml) took: (39.54 ms)
INFO   | jvm 1    | main    | 2017/10/27 14:05:38.296 | [m[32mINFO  [localhost-startStop-1] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (comments) located in (comments-spring.xml) took: (23.88 ms)
INFO   | jvm 1    | main    | 2017/10/27 14:05:38.798 | [m
INFO   | jvm 1    | main    | 2017/10/27 14:05:43.025 | [32mINFO  [localhost-startStop-1] [LazyInitOverrideBeanFactoryPostProcessor] Setting lazy-init='false' for configuration beans
INFO   | jvm 1    | main    | 2017/10/27 14:05:43.529 | [m
INFO   | jvm 1    | main    | 2017/10/27 14:05:53.490 | [32mINFO  [localhost-startStop-1] [DefaultCacheController] Registered Listener de.hybris.platform.media.storage.impl.DefaultLocalMediaFileCacheService$MediaCacheLifecycleCallback@5f2a46d2 on cache controller. Currently registered 2
INFO   | jvm 1    | main    | 2017/10/27 14:05:53.995 | [m
INFO   | jvm 1    | main    | 2017/10/27 14:05:56.812 | [32mINFO  [localhost-startStop-1] [HybrisSpringSessionFilter] Hybris Spring Session filter disabled
INFO   | jvm 1    | main    | 2017/10/27 14:05:57.114 | [m[32mINFO  [localhost-startStop-1] [Reflections] Reflections took 214 ms to scan 1 urls, producing 9 keys and 16 values 
